BandageToss, Amumu Q
AuraofDespair, Amumu W
Tantrum, Amumu E
FlashFrost, Anivia Q
Crystallize, Anivia W
Frostbite, Anivia E
GlacialStorm, Anivia R
Pulverize, Alistar Q
Headbutt, Alistar W
RocketGrab, Blitzcrank Q
Overdrive, Blitzcrank W
PowerFist, Blitzcrank E
StaticField, Blitzcrank R
Volley, Ashe W
EnchantedCrystalArrow, Ashe R
NetherBlade, Kassadin W
ForcePulse, Kassadin E
RiftWalk, Kassadin R
Rupture, Chogath Q
FeralScream, Chogath W
VorpalSpikes, Chogath E
Feast, Chogath R
PhosphorusBomb, Corki Q
MissileBarrage, Corki R
HowlingGale, Janna Q
EyeOfTheStorm, Janna E
AlphaStrike, Masteryi Q
Meditate, Masteryi W
WujuStyle, Masteryi E
Highlander, Masteryi R
SeismicShard, Malphite Q
PoisonTrail, Singed Q
MegaAdhesive, Singed W
Fling, Singed E
InsanityPotion, Singed R
JavelinToss, Nidalee Q
Bushwhack, Nidalee W
PrimalSurge, Nidalee E
AspectOfTheCougar, Nidalee R
Deceive, Shaco Q
JackInTheBox, Shaco W
TwoShivPoison, Shaco E
UndyingRage, Tryndamere R
WildCards, Twistedfate Q
PickACard, Twistedfate W
CardmasterStack, Twistedfate E
Destiny, Twistedfate R
BlindingDart, Teemo Q
MoveQuick, Teemo W
ToxicShot, Teemo E
DefensiveBallCurl, Rammus W
TimeWarp, Zilean E
