AhriOrbofDeception, Ahri Q
AhriFoxFire, Ahri W
AhriSeduce, Ahri E
AhriTumble, Ahri R
CurseoftheSadMummy, Amumu R
FerociousHowl, Alistar R
MissFortuneRicochetShot, Missfortune Q
MissFortuneViciousStrikes, Missfortune W
MissFortuneScattershot, Missfortune E
MissFortuneBulletTime, Missfortune R
ApheliosQ_ClientTooltipWrapper, Aphelios Q
ApheliosE_ClientTooltipWrapper, Aphelios E
AsheSpiritOfTheHawk, Ashe E
KogMawBioArcaneBarrage, KogMaw W
KogMawVoidOoze, KogMaw E
KogMawLivingArtillery, KogMaw R
NullLance, Kassadin Q
AzirQWrapper, Azir Q
AzirEWrapper, Azir E
CarpetBomb, Corki W
GGun, Corki E
BraumRWrapper, Braum R
DariusCleave, Darius Q
DariusNoxianTacticsONH, Darius W
DariusAxeGrabCone, Darius E
DariusExecute, Darius R
DianaTeleport, Diana E
DianaOrbs, Diana W
DravenSpinning, Draven Q
DravenFury, Draven W
DravenDoubleShot, Draven E
DravenRCast, Draven R
GangplankQWrapper, Gangplank Q
HecarimRapidSlash, Hecarim Q
HecarimRamp, Hecarim E
HecarimUlt, Hecarim R
GravesQLineSpell, Graves Q
GravesSmokeGrenade, Graves W
GravesMove, Graves E
GravesChargeShot, Graves R
JarvanIVDragonStrike, Jarvaniv Q
JarvanIVGoldenAegis, Jarvaniv W
JarvanIVDemacianStandard, Jarvaniv E
JarvanIVCataclysm, Jarvaniv R
SowTheWind, Janna W
ReapTheWhirlwind, Janna R
EliseHumanQ, Elise Q
EliseHumanW, Elise W
EliseHumanE, Elise E
JaxLeapStrike, Jax Q
JaxEmpowerTwo, Jax W
JaxCounterStrike, Jax E
JaxRelentlessAssault, Jax R
JayceToTheSkies, Jayce Q
JayceStaticField, Jayce W
JayceThunderingBlow, Jayce E
JayceStanceHtG, Jayce R
KarthusLayWasteA1, Karthus Q
KarthusWallOfPain, Karthus W
KarthusDefile, Karthus E
KarthusFallenOne, Karthus R
LuxLightBinding, Lux Q
LuxPrismaticWave, Lux W
LuxLightStrikeKugel, Lux E
KarmaSpiritBind, Karma W
KarmaSolKimShield, Karma E
KarmaMantra, Karma R
KennenShurikenHurlMissile1, Kennen Q
KennenBringTheLight, Kennen W
KennenLightningRush, Kennen E
KennenShurikenStorm, Kennen R
BlindMonkQOne, Leesin Q
BlindMonkWOne, Leesin W
BlindMonkEOne, Leesin E
BlindMonkRKick, Leesin R
LeonaShieldOfDaybreak, Leona Q
LeonaSolarBarrier, Leona W
LeonaZenithBlade, Leona E
LeonaSolarFlare, Leona R
Obduracy, Malphite W
Landslide, Malphite E
UFSlash, Malphite R
NautilusAnchorDrag, Nautilus Q
NautilusPiercingGaze, Nautilus W
NautilusSplashZone, Nautilus E
NautilusGrandLine, Nautilus R
KalistaMysticShot, Kalista Q
KalistaExpungeWrapper, Kalista E
KalistaRx, Kalista R
OlafAxeThrowCast, Olaf Q
OlafFrenziedStrikes, Olaf W
OlafRecklessStrike, Olaf E
OlafRagnarok, Olaf R
RellW_Dismount, Rell W
KatarinaEWrapper, Katarina E
RenektonCleave, Renekton Q
RenektonPreExecute, Renekton W
RenektonSliceAndDice, Renekton E
RenektonReignOfTheTyrant, Renekton R
RivenTriCleave, Riven Q
RivenMartyr, Riven W
RivenFeint, Riven E
RivenFengShuiEngine, Riven R
ShyvanaDoubleAttack, Shyvana Q
ShyvanaImmolationAura, Shyvana W
ShyvanaFireball, Shyvana E
ShyvanaTransformCast, Shyvana R
TrundleTrollSmash, Trundle Q
trundledesecrate, Trundle W
TrundleCircle, Trundle E
TrundlePain, Trundle R
SkarnerVirulentSlash, Skarner Q
SkarnerExoskeleton, Skarner W
SkarnerFracture, Skarner E
SkarnerImpale, Skarner R
ThreshRPenta, Thresh R
KindredEWrapper, Kindred E
NocturneDuskbringer, Nocturne Q
NocturneShroudofDarkness, Nocturne W
NocturneUnspeakableHorror, Nocturne E
NocturneParanoia, Nocturne R
RumbleFlameThrower, Rumble Q
RumbleShield, Rumble W
RumbleGrenade, Rumble E
RumbleCarpetBomb, Rumble R
OrianaIzunaCommand, Orianna Q
OrianaDissonanceCommand, Orianna W
OrianaRedactCommand, Orianna E
OrianaDetonateCommand, Orianna R
HallucinateFull, Shaco R
TeemoRCast, Teemo R
TwitchHideInShadows, Twitch Q
TwitchVenomCask, Twitch W
